,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
180,11322,en,Public Enemies,165.954,2009-07-01,6.7,3432,"['Crime', 'History']","Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",214104620,140,America's Most Wanted.
181,431075,en,Polaroid,218.474,2019-01-10,5.8,684,"['Horror', 'Thriller', 'Mystery']","High school loner Bird Fitcher has no idea what dark secrets are tied to the mysterious Polaroid vintage camera she stumbles upon, but it doesn't take long to discover that those who have their picture taken meet a tragic end. Bird and her friends must survive one more night as they race to solve the mystery of the haunted Polaroid before it kills them all.",0,88,"Beware This Camera...Once You Take It, It Takes You."
182,159211,en,The Haunting of Helena,173.551,2013-01-14,5.6,115,"['Horror', 'Thriller']","After a divorce, Sophia moves to the south of Italy with her daughter, Helena. Their new home, an apartment within an austere building of the fascist age, is a chance for them to start a new life. But inside an old storage room hides a mysterious closet and a buried secret. After the loss of Helena’s first baby tooth, a chilling obsession begins and an apparition haunts her sleep...",0,87,She's coming for her.
183,12445,en,Harry Potter and the Deathly Hallows: Part 2,191.193,2011-07-07,8.1,16362,"['Fantasy', 'Adventure']","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",1341511219,130,It all ends here.
184,22894,en,Legion,189.34,2010-01-21,5.7,1933,"['Horror', 'Action', 'Fantasy']","When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",67918658,100,"When the last angel falls, the fight for mankind begins."
185,834404,en,Teen Titans Go! See Space Jam,199.353,2021-06-20,7.0,143,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']","The Teen Titans are visited by the Nerdlucks, the Space Jam villains who tried to capture Michael Jordan and the Looney Tunes. Astonished to discover his fellow Titans have never seen Space Jam, Cyborg organizes an exclusive watch party. Of course, if the Titans are watching a movie, don't expect silence to be golden. Raven and Starfire provide the commentary, Cyborg presents the fun facts, Beast Boy points out the butt shots, and Robin, but Robin doesn't trust their new alien friends. Are the Nerdlucks here to attend an innocent watch party, or do they have more sinister motives up their sleeves?",0,80,
186,557,en,Spider-Man,221.416,2002-05-01,7.2,14296,"['Fantasy', 'Action']","After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",821708551,121,Go for the ultimate spin.
187,623135,ko,싱크홀,189.962,2021-08-11,7.3,21,"['Comedy', 'Drama']","The average citizen Dong-won and his family move into a house bought after years of hard work. Filled with happiness, he invites his colleagues for a housewarming party, but the heavy rain during the night before creates a gigantic sinkhole, and in a mere minute, it swallows up the whole house and the people inside. Hundreds of meters down the hole, Dong-won, his neighbor Man-su, and the unfortunate guests must find their way out. Rain starts to pour down, filling the sinkhole with water, and they’re running out of time.",0,113,A house earned after 11 years of effort falls deep into the ground in a minute
188,763532,en,Long Story Short,179.125,2021-02-11,7.4,51,"['Romance', 'Comedy', 'Fantasy']","Teddy wakes up the morning after his wedding to discover that he's jumped forward a year in his life to his first anniversary. Trapped in an endless cycle of time jumps, transported another year ahead every few minutes, he is faced with a race against time as his life crumbles around him.",0,90,Love... blink and you'll miss it.
189,615658,en,Awake,194.284,2021-06-09,6.0,708,"['Drama', 'Science Fiction', 'Thriller']","After a sudden global event wipes out all electronics and takes away humankind’s ability to sleep, chaos quickly begins to consume the world. Only Jill, an ex-soldier with a troubled past, may hold the key to a cure in the form of her own daughter. The question is, can Jill safely deliver her daughter and save the world before she herself loses her mind.",0,96,Disorientation. Hallucinations. Hysteria. Sleep is survival.
190,12444,en,Harry Potter and the Deathly Hallows: Part 1,186.846,2010-10-17,7.8,15180,"['Adventure', 'Fantasy']","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",954305868,146,One Way… One Fate… One Hero.
191,512025,en,There's Someone Inside Your House,181.842,2021-09-24,5.7,259,"['Horror', 'Thriller', 'Mystery']","As the countdown to graduation begins, students at Osborne High are being stalked by a maniac intent on exposing their darkest secrets to the entire town, terrorizing victims while wearing a life-like mask of their own face. With a mysterious past of her own, Makani and her friends must discover the killer's identity before they become victims themselves.",0,96,Everyone has a secret to die for.
192,767,en,Harry Potter and the Half-Blood Prince,188.106,2009-07-07,7.7,15241,"['Adventure', 'Fantasy']","As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",933959197,153,Dark Secrets Revealed
193,768744,ja,僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション,184.977,2021-08-06,7.2,21,"['Animation', 'Action', 'Comedy', 'Fantasy', 'Adventure']","A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-classic selected hero team. It is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.",38410729,101,Their fight is our future.
194,653349,en,Vacation Friends,144.236,2021-08-27,7.3,326,['Comedy'],"When a straight-laced couple that has fun with a rowdy couple on vacation in Mexico return to the States, they discover that the crazy couple they met in Mexico followed them back home and decide to play tricks on them.",0,103,They came home with some extra baggage.
195,615457,en,Nobody,191.625,2021-03-18,8.3,3624,"['Action', 'Crime', 'Thriller', 'Drama']","Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",61779301,92,Never underestimate a nobody.
196,38234,en,Undisputed III: Redemption,200.045,2010-05-22,7.5,569,"['Action', 'Thriller']","Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament.",0,96,One deadly tournament. Last fight for freedom.
197,565028,en,Candyman,167.154,2021-08-25,6.4,564,"['Horror', 'Thriller']","Anthony and his partner move into a loft in the now gentrified Cabrini-Green, and after a chance encounter with an old-timer exposes Anthony to the true story behind Candyman, he unknowingly opens a door to a complex past that unravels his own sanity and unleashes a terrifying wave of violence.",77389310,91,Dare to say his name.
198,303857,ja,ドラゴンボールZ 復活の「F」,187.296,2015-04-18,6.8,1240,"['Action', 'Animation', 'Science Fiction']","One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",61768190,93,
199,784500,ja,劇場版 美少女戦士セーラームーンEternal 後編,185.857,2021-02-11,8.2,90,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']","While under the care of the Outer Sailor Guardians, Hotaru begins to age rapidly. Then, the time comes for all the Sailor Guardians to reunite!",0,80,
200,550205,en,Wish Dragon,182.12,2021-01-15,8.2,663,"['Animation', 'Family', 'Comedy', 'Fantasy']",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,25860000,99,Three magical wishes. One life changing adventure.
201,773660,es,Este amor es de otro planeta,247.872,2021-03-31,4.5,2,"['Comedy', 'Romance']",,0,88,
202,876576,en,Go! Go! Cory Carson: Chrissy Takes the Wheel,155.155,2021-09-21,5.5,8,"['Animation', 'Family']","From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",0,0,
203,24021,en,The Twilight Saga: Eclipse,183.118,2010-06-23,6.2,7154,"['Adventure', 'Fantasy', 'Drama', 'Romance']","Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",698491347,124,It all begins... with a choice.
204,337401,en,Mulan,165.655,2020-09-04,7.0,5239,"['Adventure', 'Fantasy']","When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",66800000,115,
205,774456,es,García y García,172.079,2021-08-27,3.2,3,['Comedy'],,0,0,
206,809314,en,Trigger Point,181.905,2021-04-23,6.6,86,"['Action', 'Thriller']",Nicolas Shaw is a retired U.S. special operative who becomes part of an elite 'invisible' team that quietly takes out the worst villains around the world.,0,82,Everyone breaks.
207,22832,en,Ninja Assassin,158.219,2009-09-29,6.5,1053,['Action'],"Ninja Assassin follows Raizo, one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.",60462347,99,"Fear not the weapon, but the hand that wields it."
208,618162,en,The Harder They Fall,264.246,2021-10-22,6.6,197,['Western'],"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.",0,139,A new day is dawning.
209,13475,en,Star Trek,170.815,2009-05-06,7.4,8170,"['Science Fiction', 'Action', 'Adventure']","The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",385680446,127,The future begins.
210,32657,en,Percy Jackson & the Olympians: The Lightning Thief,172.953,2010-02-01,6.2,6008,"['Adventure', 'Fantasy', 'Family']","Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",226497209,118,Worlds collide.
211,474350,en,It Chapter Two,165.741,2019-09-04,6.9,6418,"['Horror', 'Fantasy']","27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",473093228,169,You'll Float Again
212,393345,en,Cult of Chucky,149.692,2017-10-23,5.8,800,"['Horror', 'Thriller']","Confined to an asylum for the criminally insane, Nica Pierce is convinced that she, not Chucky, murdered her entire family. But when the psychiatrist introduces a new therapeutic ""Good Guy"" doll with a familiar face, a string of new, grisly deaths leads Nica to wonder if she isn't crazy after all.",2200000,91,You may feel a little prick
213,410113,fr,The Loud House Movie,177.043,2021-08-20,8.4,84,"['Animation', 'Family', 'Comedy', 'Music', 'Fantasy']",The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.,0,83,The Louds are about to rule.
214,633515,nl,De Slag om de Schelde,172.669,2021-06-05,7.2,183,"['War', 'History', 'Drama']","November 1944. On the flooded isle of Walcheren, Zeeland, thousands of Allied soldiers are battling the German army. Three young lives become inextricably connected. A Dutch boy fighting for the Germans, an English glider pilot and a girl from Zeeland connected to the resistance against her will, are forced to make crucial choices that impact both their own freedom and the freedom of others.",0,124,
215,590706,en,Jiu Jitsu,165.469,2020-11-20,5.1,445,"['Fantasy', 'Action', 'Science Fiction']","Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",99924,102,"From the darkness, the ultimate fighter rises."
